Generic Name	SMILES	Drug Bank ID	URL	Drug Groups	Score
D-glucose	DB01914	[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)C=O	https://go.drugbank.com/drugs/DB01914	approved; investigational; vet_approved	-649.071
Taurine	DB01956	NCCS(O)(=O)=O	https://go.drugbank.com/drugs/DB01956	approved; nutraceutical	-634.34
Cocarboxylase	DB01987	CC1=C(CCO[P@](O)(=O)O[P@](O)([O-])=O)SC=[N+]1CC1=CN=C(C)N=C1N	https://go.drugbank.com/drugs/DB01987	approved; experimental	-559.742
Flufenamic acid	DB02266	OC(=O)C1=CC=CC=C1NC1=CC(=CC=C1)C(F)(F)F	https://go.drugbank.com/drugs/DB02266	approved	-633.465
Calcipotriol	DB02300	O[C@H](\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)C1CC1	https://go.drugbank.com/drugs/DB02300	approved	-564.349
Isopropyl alcohol	DB02325	CC(C)O	https://go.drugbank.com/drugs/DB02325	approved; investigational	-662.779
Aminobenzoic acid	DB02362	NC1=CC=C(C=C1)C(O)=O	https://go.drugbank.com/drugs/DB02362	approved; experimental	-718.993
Thymol	DB02513	CC(C)C1=C(O)C=C(C)C=C1	https://go.drugbank.com/drugs/DB02513	approved	-633.616
gamma-Aminobutyric acid	DB02530	NCCCC(O)=O	https://go.drugbank.com/drugs/DB02530	approved; investigational	-645.09
Vorinostat	DB02546	ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1	https://go.drugbank.com/drugs/DB02546	approved; investigational	-700.222
Cholic Acid	DB02659	[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C	https://go.drugbank.com/drugs/DB02659	approved	-632.887
Nicotinamide	DB02701	NC(=O)C1=CN=CC=C1	https://go.drugbank.com/drugs/DB02701	approved; investigational	-625.666
Fusidic acid	DB02703	[H][C@@]12C[C@@H](O)[C@@]3([H])[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@]4([H])CC[C@]3(C)[C@@]1(C)C[C@H](OC(C)=O)\C2=C(\CCC=C(C)C)C(O)=O	https://go.drugbank.com/drugs/DB02703	approved; investigational	-683.687
Sucrose	DB02772	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	https://go.drugbank.com/drugs/DB02772	approved; experimental; investigational	-526.046
Pregnenolone	DB02789	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C	https://go.drugbank.com/drugs/DB02789	approved; experimental	-637.344
D-Methionine	DB02893	CSCC[C@@H](N)C(O)=O	https://go.drugbank.com/drugs/DB02893	approved; experimental; investigational	-632.42
Piretanide	DB02925	NS(=O)(=O)C1=CC(=CC(N2CCCC2)=C1OC1=CC=CC=C1)C(O)=O	https://go.drugbank.com/drugs/DB02925	approved	-628.758
Oxitriptan	DB02959	N[C@@H](CC1=CNC2=C1C=C(O)C=C2)C(O)=O	https://go.drugbank.com/drugs/DB02959	approved; investigational; nutraceutical	-645.433
Lauric acid	DB03017	CCCCCCCCCCCC(O)=O	https://go.drugbank.com/drugs/DB03017	approved; experimental	-616.882
Glycolic acid	DB03085	OCC(O)=O	https://go.drugbank.com/drugs/DB03085	approved; investigational	-653.161
Pidolic acid	DB03088	OC(=O)[C@@H]1CCC(=O)N1	https://go.drugbank.com/drugs/DB03088	approved; investigational	-629.268
Acetylcholine	DB03128	CC(=O)OCC[N+](C)(C)C	https://go.drugbank.com/drugs/DB03128	approved; investigational	-657.396
Acetic acid	DB03166	CC(O)=O	https://go.drugbank.com/drugs/DB03166	approved	-694.718
Propyl alcohol	DB03175	CCCO	https://go.drugbank.com/drugs/DB03175	approved	-636.502
Oteracil	DB03209	OC(=O)C1=NC(=O)NC(=O)N1	https://go.drugbank.com/drugs/DB03209	approved	-631.686
Flavin mononucleotide	DB03247	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2	https://go.drugbank.com/drugs/DB03247	approved; investigational	-646.636
Phenol	DB03255	OC1=CC=CC=C1	https://go.drugbank.com/drugs/DB03255	approved; experimental	-655.48
Brivudine	DB03312	OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O	https://go.drugbank.com/drugs/DB03312	approved; investigational	-562.639
Oxyphenbutazone	DB03585	CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB03585	approved; withdrawn	-619.621
Ribostamycin	DB03615	[H][C@@]1(O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)O[C@H](CO)[C@@H](O)[C@H]1O	https://go.drugbank.com/drugs/DB03615	approved; experimental	-621.121
Deoxycholic acid	DB03619	[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C	https://go.drugbank.com/drugs/DB03619	approved	-572.73
Tromethamine	DB03754	NC(CO)(CO)CO	https://go.drugbank.com/drugs/DB03754	approved	-728.254
Doconexent	DB03756	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O	https://go.drugbank.com/drugs/DB03756	approved; investigational	-688.86
Propanoic acid	DB03766	[H]CCC(O)=O	https://go.drugbank.com/drugs/DB03766	approved; vet_approved	-622.401
Benzoic acid	DB03793	OC(=O)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB03793	approved; investigational	-635.267
Palmitic Acid	DB03796	CCCCCCCCCCCCCCCC(O)=O	https://go.drugbank.com/drugs/DB03796	approved	-627.121
Hexamidine	DB03808	NC(=N)C1=CC=C(OCCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1	https://go.drugbank.com/drugs/DB03808	approved; experimental	-636.653
Urea	DB03904	NC(N)=O	https://go.drugbank.com/drugs/DB03904	approved; investigational	-629.157
D-Serine	DB03929	N[C@H](CO)C(O)=O	https://go.drugbank.com/drugs/DB03929	approved; experimental	-654.254
Ergosterol	DB04038	[H]\C(=C(\[H])[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])C3=CC=C4C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@]([H])(C)C(C)C	https://go.drugbank.com/drugs/DB04038	approved; experimental	-517.043
Berberine	DB04115	COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC	https://go.drugbank.com/drugs/DB04115	approved; investigational	-708.093
Pyrophosphoric acid	DB04160	OP(O)(=O)OP(O)(O)=O	https://go.drugbank.com/drugs/DB04160	approved; experimental	-651.574
Fructose	DB04173	OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O	https://go.drugbank.com/drugs/DB04173	approved; experimental	-706.568
Dequalinium	DB04209	CC1=CC(N)=C2C=CC=CC2=[N+]1CCCCCCCCCC[N+]1=C(C)C=C(N)C2=C1C=CC=C2	https://go.drugbank.com/drugs/DB04209	approved; investigational	-578.428
Oleic Acid	DB04224	CCCCCCCC\C=C\CCCCCCCC(O)=O	https://go.drugbank.com/drugs/DB04224	approved; investigational; vet_approved	-633.619
Citric acid	DB04272	OC(=O)CC(O)(CC(O)=O)C(O)=O	https://go.drugbank.com/drugs/DB04272	approved; nutraceutical; vet_approved	-629.866
Carbocisteine	DB04339	N[C@@H](CSCC(O)=O)C(O)=O	https://go.drugbank.com/drugs/DB04339	approved; investigational	-620.61
Taurocholic acid	DB04348	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O	https://go.drugbank.com/drugs/DB04348	approved; experimental	-620.007
Lactic acid	DB04398	CC(O)C(O)=O	https://go.drugbank.com/drugs/DB04398	approved; vet_approved	-631.448
Lactose	DB04465	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O	https://go.drugbank.com/drugs/DB04465	approved; experimental; investigational	-628.089
Cholesterol	DB04540	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C	https://go.drugbank.com/drugs/DB04540	approved; investigational	-546.701
Gluconolactone	DB04564	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	https://go.drugbank.com/drugs/DB04564	approved; experimental	-626.482
Trioxsalen	DB04571	CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1	https://go.drugbank.com/drugs/DB04571	approved	-651.518
Thiotepa	DB04572	S=P(N1CC1)(N1CC1)N1CC1	https://go.drugbank.com/drugs/DB04572	approved; investigational	-619.115
Estriol	DB04573	[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	https://go.drugbank.com/drugs/DB04573	approved; investigational; vet_approved	-632.361
Estrone sulfate	DB04574	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OS(O)(=O)=O)C=C3	https://go.drugbank.com/drugs/DB04574	approved	-617.847
Quinestrol	DB04575	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC1CCCC1)C=C3	https://go.drugbank.com/drugs/DB04575	approved	-636.057
Carboxin	DB04657	CC1=C(SCCO1)C(=O)NC1=CC=CC=C1	https://go.drugbank.com/drugs/DB04657	approved; experimental	-634.486
Hesperidin	DB04703	COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O	https://go.drugbank.com/drugs/DB04703	approved; investigational	-578.921
Iodipamide	DB04711	OC(=O)C1=C(I)C(NC(=O)CCCCC(=O)NC2=C(I)C=C(I)C(C(O)=O)=C2I)=C(I)C=C1I	https://go.drugbank.com/drugs/DB04711	approved	-500.883
Nimesulide	DB04743	CS(=O)(=O)NC1=C(OC2=CC=CC=C2)C=C(C=C1)[N+]([O-])=O	https://go.drugbank.com/drugs/DB04743	approved; investigational; withdrawn	-571.925
Bifonazole	DB04794	C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04794	approved; investigational	-632.391
Benoxaprofen	DB04812	CC(C(O)=O)C1=CC2=C(OC(=N2)C2=CC=C(Cl)C=C2)C=C1	https://go.drugbank.com/drugs/DB04812	approved; withdrawn	-632.941
Bithionol	DB04813	OC1=C(SC2=C(O)C(Cl)=CC(Cl)=C2)C=C(Cl)C=C1Cl	https://go.drugbank.com/drugs/DB04813	approved; withdrawn	-652.316
Clioquinol	DB04815	OC1=C(I)C=C(Cl)C2=C1N=CC=C2	https://go.drugbank.com/drugs/DB04815	approved; vet_approved; withdrawn	-630.115
Dantron	DB04816	OC1=CC=CC2=C1C(=O)C1=C(C=CC=C1O)C2=O	https://go.drugbank.com/drugs/DB04816	approved; investigational; withdrawn	-630.351
Metamizole	DB04817	CN(CS(O)(=O)=O)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04817	approved; investigational; withdrawn	-592.031
Nialamide	DB04820	O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1	https://go.drugbank.com/drugs/DB04820	approved; withdrawn	-633.972
Nomifensine	DB04821	CN1CC(C2=CC=CC=C2)C2=C(C1)C(N)=CC=C2	https://go.drugbank.com/drugs/DB04821	approved; withdrawn	-677.148
Oxeladin	DB04822	CCN(CC)CCOCCOC(=O)C(CC)(CC)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04822	approved; withdrawn	-656.798
Phenolphthalein	DB04824	OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(O)C=C1	https://go.drugbank.com/drugs/DB04824	approved; withdrawn	-653.806
Prenylamine	DB04825	CC(CC1=CC=CC=C1)NCCC(C1=CC=CC=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04825	approved; withdrawn	-636.561
Thenalidine	DB04826	CN1CCC(CC1)N(CC1=CC=CS1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04826	approved; withdrawn	-634.384
Urethane	DB04827	CCOC(N)=O	https://go.drugbank.com/drugs/DB04827	approved; withdrawn	-637.487
Zimelidine	DB04832	CN(C)C\C=C(\C1=CC=C(Br)C=C1)C1=CC=CN=C1	https://go.drugbank.com/drugs/DB04832	approved; withdrawn	-634.567
Rapacuronium	DB04834	[H][C@@]12C[C@@H]([C@H](OC(=O)CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(CC=C)CCCCC1	https://go.drugbank.com/drugs/DB04834	approved; withdrawn	-646.72
Clofedanol	DB04837	CN(C)CCC(O)(C1=CC=CC=C1)C1=CC=CC=C1Cl	https://go.drugbank.com/drugs/DB04837	approved; withdrawn	-628.363
Cyclandelate	DB04838	CC1CC(CC(C)(C)C1)OC(=O)C(O)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04838	approved	-631.11
Cyproterone acetate	DB04839	[H][C@@]12C[C@]1([H])[C@@]1(C)C(=CC2=O)C(Cl)=C[C@@]2([H])[C@]3([H])CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)CC[C@]12[H]	https://go.drugbank.com/drugs/DB04839	approved; investigational	-648.945
Debrisoquine	DB04840	NC(=N)N1CCC2=CC=CC=C2C1	https://go.drugbank.com/drugs/DB04840	approved; investigational	-633.274
Flunarizine	DB04841	FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1	https://go.drugbank.com/drugs/DB04841	approved	-597.432
Fluspirilene	DB04842	FC1=CC=C(C=C1)C(CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1)C1=CC=C(F)C=C1	https://go.drugbank.com/drugs/DB04842	approved; investigational	-209.108
Mepenzolate	DB04843	C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04843	approved	-629.595
Tetrabenazine	DB04844	COC1=C(OC)C=C2C3CC(=O)C(CC(C)C)CN3CCC2=C1	https://go.drugbank.com/drugs/DB04844	approved; investigational	-630.82
Ixabepilone	DB04845	[H][C@]12C[C@H](NC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)CCC[C@@]1(C)O2)C(\C)=C\C1=CSC(C)=N1	https://go.drugbank.com/drugs/DB04845	approved; investigational	-649.768
Celiprolol	DB04846	CCN(CC)C(=O)NC1=CC=C(OCC(O)CNC(C)(C)C)C(=C1)C(C)=O	https://go.drugbank.com/drugs/DB04846	approved; investigational	-628.422
Febuxostat	DB04854	CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N	https://go.drugbank.com/drugs/DB04854	approved	-527.006
Nebivolol	DB04861	OC(CNCC(O)C1CCC2=C(O1)C=CC(F)=C2)C1CCC2=C(O1)C=CC(F)=C2	https://go.drugbank.com/drugs/DB04861	approved; investigational	-695.054
Huperzine A	DB04864	[H][C@@]12CC3=C(C=CC(=O)N3)[C@@](N)(CC(C)=C1)\C2=C\C	https://go.drugbank.com/drugs/DB04864	approved; experimental	-704.589
Omacetaxine mepesuccinate	DB04865	[H][C@@]1(OC(=O)[C@@](O)(CCCC(C)(C)O)CC(=O)OC)C(OC)=C[C@]23CCCN2CCC2=CC4=C(OCO4)C=C2[C@]13[H]	https://go.drugbank.com/drugs/DB04865	approved; investigational	-224.376
Nilotinib	DB04868	CC1=CN(C=N1)C1=CC(NC(=O)C2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)=CC(=C1)C(F)(F)F	https://go.drugbank.com/drugs/DB04868	approved; investigational	-476.463
Lorcaserin	DB04871	C[C@H]1CNCCC2=CC=C(Cl)C=C12	https://go.drugbank.com/drugs/DB04871	approved	-636.665
Vildagliptin	DB04876	OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N1CCC[C@H]1C#N	https://go.drugbank.com/drugs/DB04876	approved; investigational	-710.467
Enoximone	DB04880	CSC1=CC=C(C=C1)C(=O)C1=C(C)NC(=O)N1	https://go.drugbank.com/drugs/DB04880	approved; investigational	-634.931
Bepotastine	DB04890	OC(=O)CCCN1CCC(CC1)OC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1	https://go.drugbank.com/drugs/DB04890	approved	-638.059
Milnacipran	DB04896	CCN(CC)C(=O)C1(CC1CN)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04896	approved; investigational	-655.841
Ximelagatran	DB04898	CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCC1=CC=C(C=C1)C(\N)=N\O)C1CCCCC1	https://go.drugbank.com/drugs/DB04898	approved; investigational; withdrawn	-574.615
Flibanserin	DB04908	FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1	https://go.drugbank.com/drugs/DB04908	approved; investigational	-719.882
Clevidipine	DB04920	CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC	https://go.drugbank.com/drugs/DB04920	approved; investigational	-629.186
Permethrin	DB04930	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1	https://go.drugbank.com/drugs/DB04930	approved; investigational	-705.491
Ospemifene	DB04938	OCCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04938	approved; investigational	-574.092
Iloperidone	DB04946	COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O	https://go.drugbank.com/drugs/DB04946	approved	-624.956
Lofexidine	DB04948	CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1	https://go.drugbank.com/drugs/DB04948	approved; investigational	-643.996
Pirfenidone	DB04951	CC1=CN(C(=O)C=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB04951	approved; investigational	-708.421
Ezogabine	DB04953	CCOC(=O)NC1=C(N)C=C(NCC2=CC=C(F)C=C2)C=C1	https://go.drugbank.com/drugs/DB04953	approved; investigational	-636.434
Ingenol mebutate	DB05013	[H][C@@]12C[C@@H](C)[C@]34C=C(C)[C@H](OC(=O)C(\C)=C/C)[C@@]3(O)[C@H](O)C(CO)=C[C@@]([H])(C4=O)[C@]1([H])C2(C)C	https://go.drugbank.com/drugs/DB05013	approved	-708.701
Belinostat	DB05015	ONC(=O)\C=C\C1=CC=CC(=C1)S(=O)(=O)NC1=CC=CC=C1	https://go.drugbank.com/drugs/DB05015	approved; investigational	-631.153
Ataluren	DB05016	OC(=O)C1=CC=CC(=C1)C1=NOC(=N1)C1=CC=CC=C1F	https://go.drugbank.com/drugs/DB05016	approved; investigational	-627.323
Migalastat	DB05018	OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O	https://go.drugbank.com/drugs/DB05018	approved; investigational	-628.316
Indacaterol	DB05039	CCC1=C(CC)C=C2CC(CC2=C1)NC[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1	https://go.drugbank.com/drugs/DB05039	approved	-698.521
Erdosteine	DB05057	OC(=O)CSCC(=O)NC1CCSC1=O	https://go.drugbank.com/drugs/DB05057	approved; investigational	-644.641
Pretomanid	DB05154	[O-][N+](=O)C1=CN2C[C@@H](COC2=N1)OCC1=CC=C(OC(F)(F)F)C=C1	https://go.drugbank.com/drugs/DB05154	approved	-622.901
Cobimetinib	DB05239	OC1(CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1)[C@@H]1CCCCN1	https://go.drugbank.com/drugs/DB05239	approved; investigational	-630.372
Methsuximide	DB05246	CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB05246	approved	-666.091
Rotigotine	DB05271	CCCN(CCC1=CC=CS1)[C@H]1CCC2=C(O)C=CC=C2C1	https://go.drugbank.com/drugs/DB05271	approved	-637.109
Vandetanib	DB05294	COC1=C(OCC2CCN(C)CC2)C=C2N=CN=C(NC3=C(F)C=C(Br)C=C3)C2=C1	https://go.drugbank.com/drugs/DB05294	approved	-539.589
Pimavanserin	DB05316	CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1	https://go.drugbank.com/drugs/DB05316	approved; investigational	-624.675
Dexlansoprazole	DB05351	CC1=C(OCC(F)(F)F)C=CN=C1C[S@@](=O)C1=NC2=CC=CC=C2N1	https://go.drugbank.com/drugs/DB05351	approved; investigational	-605.074
Histamine	DB05381	NCCC1=CNC=N1	https://go.drugbank.com/drugs/DB05381	approved; investigational	-624.451
Brivaracetam	DB05541	CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1	https://go.drugbank.com/drugs/DB05541	approved; investigational	-657.726
Apremilast	DB05676	CCOC1=CC(=CC=C1OC)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O	https://go.drugbank.com/drugs/DB05676	approved; investigational	-618.335
Abiraterone	DB05812	[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C	https://go.drugbank.com/drugs/DB05812	approved	-632.821
Obeticholic acid	DB05990	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O	https://go.drugbank.com/drugs/DB05990	approved	-586.017
Lumateperone	DB06077	[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C1=CC=CC3=C1N2CCN3C	https://go.drugbank.com/drugs/DB06077	approved; investigational	-708.366
Cenobamate	DB06119	NC(=O)O[C@@H](CN1N=CN=N1)C1=C(Cl)C=CC=C1	https://go.drugbank.com/drugs/DB06119	approved; investigational	-652.002
Tirbanibulin	DB06137	O=C(CC1=CC=C(C=N1)C1=CC=C(OCCN2CCOCC2)C=C1)NCC1=CC=CC=C1	https://go.drugbank.com/drugs/DB06137	approved; investigational	-532.549
Sertindole	DB06144	FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2	https://go.drugbank.com/drugs/DB06144	approved; investigational; withdrawn	-494.089
Sulfathiazole	DB06147	NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1	https://go.drugbank.com/drugs/DB06147	approved; vet_approved	-648.675
Mianserin	DB06148	CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21	https://go.drugbank.com/drugs/DB06148	approved; investigational	-603.736
Sulfadimethoxine	DB06150	COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1	https://go.drugbank.com/drugs/DB06150	approved; vet_approved	-655.126
Acetylcysteine	DB06151	CC(=O)N[C@@H](CS)C(O)=O	https://go.drugbank.com/drugs/DB06151	approved; investigational	-655.295
Nylidrin	DB06152	CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1	https://go.drugbank.com/drugs/DB06152	approved	-633.619
Pizotifen	DB06153	CN1CCC(CC1)=C1C2=C(CCC3=CC=CC=C13)SC=C2	https://go.drugbank.com/drugs/DB06153	approved	-630.749
Pentaerythritol tetranitrate	DB06154	[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O	https://go.drugbank.com/drugs/DB06154	approved	-616.983
Rimonabant	DB06155	CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=C(Cl)C=C(Cl)C=C1)C1=CC=C(Cl)C=C1	https://go.drugbank.com/drugs/DB06155	approved; investigational	-476.571
Noscapine	DB06174	[H][C@@]1(OC(=O)C2=C1C=CC(OC)=C2OC)[C@]1([H])N(C)CCC2=CC3=C(OCO3)C(OC)=C12	https://go.drugbank.com/drugs/DB06174	approved; investigational	-595.001
Romidepsin	DB06176	C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C	https://go.drugbank.com/drugs/DB06176	approved; investigational	-632.148
Pixantrone	DB06193	NCCNC1=CC=C(NCCN)C2=C1C(=O)C1=C(C=NC=C1)C2=O	https://go.drugbank.com/drugs/DB06193	approved; investigational	-634.985
Rufinamide	DB06201	NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	https://go.drugbank.com/drugs/DB06201	approved	-707.163
Lasofoxifene	DB06202	[H][C@@]1(CCC2=CC(O)=CC=C2[C@@]1([H])C1=CC=C(OCCN2CCCC2)C=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB06202	approved; investigational	-579.407
Alogliptin	DB06203	CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O	https://go.drugbank.com/drugs/DB06203	approved	-528.147
Tapentadol	DB06204	CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	https://go.drugbank.com/drugs/DB06204	approved	-633.916
Silodosin	DB06207	C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F	https://go.drugbank.com/drugs/DB06207	approved	-626.727
Prasugrel	DB06209	CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1	https://go.drugbank.com/drugs/DB06209	approved	-605.025
Doripenem	DB06211	[H][C@]12[C@@H](C)C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O	https://go.drugbank.com/drugs/DB06211	approved; investigational	-624.916
Tolvaptan	DB06212	CC1=CC=CC=C1C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCC[C@@H](O)C2=C1C=CC(Cl)=C2	https://go.drugbank.com/drugs/DB06212	approved	-644.075
Regadenoson	DB06213	CNC(=O)C1=CN(N=C1)C1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(N)=N1	https://go.drugbank.com/drugs/DB06213	approved; investigational	-651.193
Vernakalant	DB06217	COC1=C(OC)C=C(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)C=C1	https://go.drugbank.com/drugs/DB06217	approved; investigational	-634.184
Lacosamide	DB06218	COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1	https://go.drugbank.com/drugs/DB06218	approved	-630.47
